Cat Course,Subj Code,Crse Numb,Csta Code,Long Course Title,Coll Code,Coll Desc,Dept Desc,Cat Preq Term Code Eff,Cat Preq Seqno,Cat Preq Connector,Cat Preq Conn Desc,Cat Preq Lparen,Cat Preq Course,Cat Preq Subj Code,Cat Preq Crse Numb,Cat Preq Levl Code,Cat Preq Min Grde,Preq,Cat Preq Concurrency Ind,Cat Preq Rparen,Cat Preq Tesc Code,Cat Preq Test Score
ECES 423,ECES,423,A,Communications III,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 422,ECES,422,UG,D,1,,,,
ECES 434,ECES,434,A,Applied Digital Signal Processing,E,College of Engineering,Electrical & Computer Engr,201915,2,,,,ECES 303,ECES,303,UG,D,1,,,,
ECES 435,ECES,435,A,Recent Advances in Digital Signal Processing,E,College of Engineering,Electrical & Computer Engr,201915,2,,,,ECES 303,ECES,303,UG,D,1,,,,
ECES 436,ECES,436,A,Multi-disciplinary Digital Signal Processing,E,College of Engineering,Electrical & Computer Engr,201915,1,,,,ECES 303,ECES,303,UG,D,1,,,,
ECES 441,ECES,441,A,Bioinformatics,E,College of Engineering,Electrical & Computer Engr,201615,,,,, ,,,,,1,,,,
ECES 444,ECES,444,A,Systems and Control I,E,College of Engineering,Electrical & Computer Engr,200115,2,,,,ECES 356,ECES,356,UG,D,1,,,,
ECES 445,ECES,445,A,Systems and Control II,E,College of Engineering,Electrical & Computer Engr,201815,4,A,And,,ECE 361,ECE,361,UG,D,1,,,,
ECES 445,ECES,445,A,Systems and Control II,E,College of Engineering,Electrical & Computer Engr,201815,2,,,,ECES 356,ECES,356,UG,D,1,,,,
ECES 446,ECES,446,A,Systems and Control III,E,College of Engineering,Electrical & Computer Engr,201815,2,,,,ECES 356,ECES,356,UG,D,1,,,,
ECES 450,ECES,450,A,Statistical Analysis of Metagenomics,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 462,ECES,462,A,Medical Robotics II,E,College of Engineering,Electrical & Computer Engr,201415,2,,,,ECES 461,ECES,461,UG,D,1,,,,
ECES 497,ECES,497,A,Research in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 499,ECES,499,A,Supervised Study in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 510,ECES,510,A,Analytical Methods in Systems,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 511,ECES,511,A,Fundamentals of Systems I,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 512,ECES,512,A,Fundamentals of Systems II,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 511,ECES,511,GR,C,1,,,,
ECES 513,ECES,513,A,Fundamentals of Systems III,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 512,ECES,512,GR,C,1,,,,
ECES 521,ECES,521,A,Probability & Random Variables,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 522,ECES,522,A,Random Process & Spectral Analysis,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECES 523,ECES,523,A,Detection & Estimation Theory,E,College of Engineering,Electrical & Computer Engr,201815,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECES 558,ECES,558,A,Digital Signal Processing for Sound & Hearing,E,College of Engineering,Electrical & Computer Engr,200715,2,,,,ECES 631,ECES,631,GR,C,1,,,,
ECES 559,ECES,559,A,Processing of the Human Voice,E,College of Engineering,Electrical & Computer Engr,201015,4,A,And,,ECES 558,ECES,558,GR,C,1,,,,
ECES 559,ECES,559,A,Processing of the Human Voice,E,College of Engineering,Electrical & Computer Engr,201015,2,,,,ECES 631,ECES,631,GR,C,1,,,,
ECES 561,ECES,561,A,Medical Robotics I,E,College of Engineering,Electrical & Computer Engr,201315,2,,,,ECES 512,ECES,512,GR,C,1,,,,
ECES 562,ECES,562,A,Medical Robotics II,E,College of Engineering,Electrical & Computer Engr,201315,2,,,,ECES 561,ECES,561,GR,C,1,,,,
ECES 604,ECES,604,A,Optimal Estimation & Stochastic Control,E,College of Engineering,Electrical & Computer Engr,201315,4,A,And,,ECES 521,ECES,521,GR,C,1,,,,
ECES 604,ECES,604,A,Optimal Estimation & Stochastic Control,E,College of Engineering,Electrical & Computer Engr,201315,2,,,,ECES 512,ECES,512,GR,C,1,,,,
ECES 607,ECES,607,A,Estimation Theory,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 614,ECES,614,A,Passive Network Synthesis,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 615,ECES,615,A,Analysis & Design of Linear Active Networks,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 620,ECES,620,A,Multimedia Forensics and Security,E,College of Engineering,Electrical & Computer Engr,201715,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECES 621,ECES,621,A,Communications I,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 622,ECES,622,A,Communications II,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 623,ECES,623,A,Communications III,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 631,ECES,631,A,Fundamentals of Deterministic Digital Signal Processing,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 632,ECES,632,A,Fundamentals of Statistical Digital Signal Processing,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 631,ECES,631,GR,C,1,,,,
ECES 640,ECES,640,A,Genomic Signal Processing,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 641,ECES,641,A,Bioinformatics,E,College of Engineering,Electrical & Computer Engr,201615,,,,, ,,,,,1,,,,
ECES 642,ECES,642,A,Optimal Control,E,College of Engineering,Electrical & Computer Engr,200515,2,,,,ECES 512,ECES,512,GR,C,1,,,,
ECES 643,ECES,643,A,Digital Control Systems Analysis & Design,E,College of Engineering,Electrical & Computer Engr,201315,1,,,,ECES 513,ECES,513,GR,C,1,,,,
ECES 644,ECES,644,A,Computer Control Systems,E,College of Engineering,Electrical & Computer Engr,200715,,,,, ,,,,,1,,,,
ECES 650,ECES,650,A,Statistical Analysis of Genomics,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 651,ECES,651,A,Intelligent Control,E,College of Engineering,Electrical & Computer Engr,200715,,,,, ,,,,,1,,,,
ECES 660,ECES,660,A,Machine Listening and Music IR,E,College of Engineering,Electrical & Computer Engr,201315,2,,,,ECES 631,ECES,631,GR,C,1,,,,
ECES 670,ECES,670,A,Seminar in Systems I,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 671,ECES,671,A,Seminar in Systems II,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 672,ECES,672,A,Seminar in Systems III,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 681,ECES,681,A,Fundamentals of Computer Vision,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 682,ECES,682,A,Fundamentals of Image Processing,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 631,ECES,631,GR,C,1,,,,
ECES 684,ECES,684,A,Imaging Modalities,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 685,ECES,685,A,Image Reconstruction Algorithms,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 684,ECES,684,GR,C,1,,,,
ECES 685,ECES,685,A,Image Reconstruction Algorithms,E,College of Engineering,Electrical & Computer Engr,199815,2,A,And,,BMES 621,BMES,621,GR,C,1,,,,
ECES 697,ECES,697,A,Research In Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 699,ECES,699,A,Supervised Study in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 801,ECES,801,A,Advanced Topics in Systems I,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 802,ECES,802,A,Advanced Topics in Systems II,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 803,ECES,803,A,Advanced Topics in Systems III,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 811,ECES,811,A,Optimization Methods for Engineering Design,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 812,ECES,812,A,Mathematical Program Engineering Design,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 813,ECES,813,A,Computer-Aided Network Design,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 817,ECES,817,A,Non-Linear Control Systems,E,College of Engineering,Electrical & Computer Engr,201315,4,,,,ECES 513,ECES,513,GR,C,1,,,,
ECES 818,ECES,818,A,Machine Learning & Adaptive Control,E,College of Engineering,Electrical & Computer Engr,200515,2,,,,ECES 512,ECES,512,GR,C,1,,,,
ECES 821,ECES,821,A,Reliable Communications & Coding I,E,College of Engineering,Electrical & Computer Engr,199215,2,A,And,,ECES 522,ECES,522,GR,C,1,,,,
ECES 821,ECES,821,A,Reliable Communications & Coding I,E,College of Engineering,Electrical & Computer Engr,199215,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECES 822,ECES,822,A,Reliable Communications & Coding II,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 821,ECES,821,GR,C,1,,,,
ECES 823,ECES,823,A,Reliable Communications & Coding III,E,College of Engineering,Electrical & Computer Engr,199815,1,,,,ECES 822,ECES,822,GR,C,1,,,,
ECES 890,ECES,890,A,Advanced Special Topics in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 898,ECES,898,A,Master's Thesis in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 921,ECES,921,A,Reliable Communications & Coding I,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 997,ECES,997,A,Dissertation Research in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES 998,ECES,998,A,Ph.D. Dissertation in Systems Engineering,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I199,ECES,I199,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I299,ECES,I299,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I399,ECES,I399,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I499,ECES,I499,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I599,ECES,I599,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I699,ECES,I699,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I799,ECES,I799,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I899,ECES,I899,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES I999,ECES,I999,A,Independent Study in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T180,ECES,T180,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T280,ECES,T280,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T380,ECES,T380,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T480,ECES,T480,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T580,ECES,T580,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T680,ECES,T680,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T780,ECES,T780,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T880,ECES,T880,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECES T980,ECES,T980,A,Special Topics in ECES,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 501,ECET,501,A,Fundamentals of Communications Engineering,E,College of Engineering,Electrical & Computer Engr,200415,2,A,And,,ECES 522,ECES,522,GR,C,1,,,,
ECET 501,ECET,501,A,Fundamentals of Communications Engineering,E,College of Engineering,Electrical & Computer Engr,200415,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECET 511,ECET,511,A,Physical Foundations of Telecommunications Networks,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 512,ECET,512,A,Wireless Systems,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 513,ECET,513,A,Wireless Networks,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 602,ECET,602,A,Information Theory and Coding,E,College of Engineering,Electrical & Computer Engr,201315,1,,,,ECES 521,ECES,521,GR,C,1,,,,
ECET 603,ECET,603,A,Optical Communications and Networks,E,College of Engineering,Electrical & Computer Engr,200415,1,,,,ECET 501,ECET,501,GR,C,1,,,,
ECET 603,ECET,603,A,Optical Communications and Networks,E,College of Engineering,Electrical & Computer Engr,200415,2,A,And,,ECET 511,ECET,511,GR,C,1,,,,
ECET 604,ECET,604,A,Internet Laboratory,E,College of Engineering,Electrical & Computer Engr,201915,2,,,,ECEC 631,ECEC,631,GR,C,1,,,,
ECET 604,ECET,604,A,Internet Laboratory,E,College of Engineering,Electrical & Computer Engr,201915,4,O,Or,,ECEC 531,ECEC,531,GR,C,1,,,,
ECET 697,ECET,697,A,Research in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 699,ECET,699,A,Supervised Study in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 890,ECET,890,A,Advanced Special Topics in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 898,ECET,898,A,Master's Thesis in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 997,ECET,997,A,Dissertation Research in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET 998,ECET,998,A,Ph.D. Dissertation in Telecommunications,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET I599,ECET,I599,A,Independent Study in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET I699,ECET,I699,A,Independent Study in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET I799,ECET,I799,A,Independent Study in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET I899,ECET,I899,A,Independent Study in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET I999,ECET,I999,A,Independent Study in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET T580,ECET,T580,A,Special Topics in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET T680,ECET,T680,A,Special Topics in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET T780,ECET,T780,A,Special Topics in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET T880,ECET,T880,A,Special Topics in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECET T980,ECET,T980,A,Special Topics in ECET,E,College of Engineering,Electrical & Computer Engr,,,,,, ,,,,,1,,,,
ECON 201,ECON,201,A,Principles of Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,,,,,, ,,,,,1,,,,
ECON 202,ECON,202,A,Principles of Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,200815,1,,,,ECON 201,ECON,201,UG,D,1,Y,,,
ECON 203,ECON,203,A,Survey of Economic Policy,B,Bennett S. LeBow Coll. of Bus.,Economics,201515,2,A,And,,ECON 202,ECON,202,UG,D,1,Y,,,
ECON 203,ECON,203,A,Survey of Economic Policy,B,Bennett S. LeBow Coll. of Bus.,Economics,201515,1,,,,ECON 201,ECON,201,UG,D,1,,,,
ECON 240,ECON,240,A,Economics of Health Care Systems,B,Bennett S. LeBow Coll. of Bus.,Economics,,,,,, ,,,,,1,,,,
ECON 250,ECON,250,A,Game Theory and Applications,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,8,O,Or,,MATH 311,MATH,311,UG,C,1,,,,
ECON 250,ECON,250,A,Game Theory and Applications,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,7,O,Or,,MATH 310,MATH,310,UG,C,1,,,,
ECON 250,ECON,250,A,Game Theory and Applications,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,6,O,Or,,MATH 107,MATH,107,UG,C,1,,,,
ECON 250,ECON,250,A,Game Theory and Applications,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,4,O,Or,,STAT 205,STAT,205,UG,C,1,,,,
ECON 250,ECON,250,A,Game Theory and Applications,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,2,,,,STAT 201,STAT,201,UG,C,1,,,,
ECON 260,ECON,260,A,Economics of Small Business,B,Bennett S. LeBow Coll. of Bus.,Economics,201415,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 301,ECON,301,A,Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 301,ECON,301,A,Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,4,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 301,ECON,301,A,Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,8,O,Or,,MATH 121,MATH,121,UG,C,1,,),,
ECON 301,ECON,301,A,Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,6,A,And,(,MATH 102,MATH,102,UG,C,1,,,,
ECON 321,ECON,321,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201215,4,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 321,ECON,321,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201215,8,A,And,(,MATH 102,MATH,102,UG,C,1,,,,
ECON 321,ECON,321,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201215,6,A,And,,ECON 301,ECON,301,UG,C,1,,,,
ECON 321,ECON,321,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201215,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 321,ECON,321,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201215,10,O,Or,,MATH 121,MATH,121,UG,C,1,,),,
ECON 322,ECON,322,A,Economics Seminar,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 301,ECON,301,UG,C,1,,,,
ECON 322,ECON,322,A,Economics Seminar,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 321,ECON,321,UG,C,1,,,,
ECON 326,ECON,326,A,Economic Ideas,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 326,ECON,326,A,Economic Ideas,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,4,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 330,ECON,330,A,Managerial Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 330,ECON,330,A,Managerial Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 331,ECON,331,A,International Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201415,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 331,ECON,331,A,International Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201415,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 334,ECON,334,A,Public Finance,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,5,A,And,(,MATH 102,MATH,102,UG,C,1,,,,
ECON 334,ECON,334,A,Public Finance,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,3,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 334,ECON,334,A,Public Finance,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 334,ECON,334,A,Public Finance,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,7,O,Or,,MATH 121,MATH,121,UG,C,1,,),,
ECON 336,ECON,336,A,Labor Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 336,ECON,336,A,Labor Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 338,ECON,338,A,Industrial Organization,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,6,O,Or,,MATH 121,MATH,121,UG,C,1,,),,
ECON 338,ECON,338,A,Industrial Organization,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,4,A,And,(,MATH 102,MATH,102,UG,C,1,,,,
ECON 338,ECON,338,A,Industrial Organization,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 338,ECON,338,A,Industrial Organization,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 342,ECON,342,A,Economic Development,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 342,ECON,342,A,Economic Development,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 344,ECON,344,A,Comparative Economic Systems,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 344,ECON,344,A,Comparative Economic Systems,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 348,ECON,348,A,Mathematical Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,6,A,And,(,MATH 102,MATH,102,UG,C,1,,,,
ECON 348,ECON,348,A,Mathematical Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,4,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 348,ECON,348,A,Mathematical Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,8,O,Or,,MATH 121,MATH,121,UG,C,1,,),,
ECON 348,ECON,348,A,Mathematical Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 350,ECON,350,A,Applied Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,3,A,And,,STAT 201,STAT,201,UG,C,1,,,,
ECON 350,ECON,350,A,Applied Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 350,ECON,350,A,Applied Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 351,ECON,351,A,Resource and Environmental Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,3,A,And,,ECON 202,ECON,202,UG,C,1,,,,
ECON 351,ECON,351,A,Resource and Environmental Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 354,ECON,354,A,Money and Banking,B,Bennett S. LeBow Coll. of Bus.,Economics,201715,1,,,,ECON 321,ECON,321,UG,C,1,,,,
ECON 354,ECON,354,A,Money and Banking,B,Bennett S. LeBow Coll. of Bus.,Economics,201715,2,O,Or,,FIN 325,FIN,325,UG,C,1,,,,
ECON 360,ECON,360,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,6,A,And,,ECON 350,ECON,350,UG,D,1,,,,
ECON 360,ECON,360,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,2,,,,ECON 201,ECON,201,UG,D,1,,,,
ECON 360,ECON,360,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201115,4,A,And,,ECON 202,ECON,202,UG,D,1,,,,
ECON 361,ECON,361,A,Health Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201715,1,,,,ECON 201,ECON,201,UG,C,1,,,,
ECON 540,ECON,540,A,Intro to Econometrics and Data Analysis,B,Bennett S. LeBow Coll. of Bus.,Economics,,,,,, ,,,,,1,,,,
ECON 548,ECON,548,A,Mathematical Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,,,,,, ,,,,,1,,,,
ECON 550,ECON,550,A,Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,1,,,,STAT 601,STAT,601,GR,C,1,,,,
ECON 550,ECON,550,A,Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,2,O,Or,,STAT 610,STAT,610,GR,C,1,,,,
ECON 550,ECON,550,A,Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,3,O,Or,,ECON 540,ECON,540,GR,C,1,,,,
ECON 550,ECON,550,A,Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,4,O,Or,,STAT 510,STAT,510,GR,C,1,,,,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,6,O,Or,,ECON 610,ECON,610,GR,C,1,,),,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,1,,,(,STAT 610,STAT,610,GR,C,1,,,,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,3,O,Or,,ECON 540,ECON,540,GR,C,1,,),,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,2,O,Or,,ECON 550,ECON,550,GR,C,1,,,,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,5,O,Or,,ECON 601,ECON,601,GR,C,1,,,,
ECON 560,ECON,560,A,Time Series Econometrics,B,Bennett S. LeBow Coll. of Bus.,Economics,201915,4,A,And,(,BUSN 502,BUSN,502,GR,C,1,,,,
ECON 601,ECON,601,A,Managerial Economics,B,Bennett S. LeBow Coll. of Bus.,Economics,201715,,,,, ,,,,,1,,,,
ECON 610,ECON,610,A,Microeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201615,,,,, ,,,,,1,,,,
ECON 614,ECON,614,A,Macroeconomics,B,Bennett S. LeBow Coll. of Bus.,Economics,201615,1,,,,ECON 548,ECON,548,GR,C,1,,,,
